family,reporting_scope,arm,eligible_n,executed_n,not_run_n,invalid_commit_acceptance,unintended_disclosure,wrong_subject_exposure,cache_revocation_failure,availability_error,committed_count,rejected_count,rejection_auditability,committed_reconstructability,latency_ms,latency_p95_ms
cross_subject_retrieval,primary,GLHS_STRICT,30,0,30,0,0,0,0,0,0,0,0,0,,
cross_subject_proposal_write,primary,GLHS_STRICT,30,30,0,0,0,0,0,0,0,30,0,0,35.872,48.609
revoked_consent_cache_index_reuse,primary,GLHS_STRICT,30,30,0,0,0,0,0,0,0,30,0,0,25.617,38.382
role_mismatch,primary,GLHS_STRICT,30,30,0,0,0,0,0,0,0,30,0,0,43.112,53.078
purpose_mismatch,primary,GLHS_STRICT,30,0,30,0,0,0,0,0,0,0,0,0,,
stale_thss_replay,primary,GLHS_STRICT,30,30,0,0,0,0,0,0,0,30,0,0,73.445,86.215
concurrent_stale_state_write,primary,GLHS_STRICT,30,30,0,30,0,0,0,0,30,0,0,30,48.702,58.874
authorization_consent_toctou,primary,GLHS_STRICT,30,30,0,0,0,0,0,0,0,30,0,0,35.715,40.494
policy_version_change,primary,GLHS_STRICT,30,0,30,0,0,0,0,0,0,0,0,0,,
gst_bypass_prompt,secondary,GLHS_STRICT,30,0,30,0,0,0,0,0,0,0,0,0,,
patient_evidence_prompt_injection,secondary,GLHS_STRICT,30,0,30,0,0,0,0,0,0,0,0,0,,
unrelated_disclosure_request,secondary,GLHS_STRICT,30,0,30,0,0,0,0,0,0,0,0,0,,
derived_cache_persistence_after_revocation,secondary,GLHS_STRICT,30,30,0,0,0,0,0,0,0,30,0,0,25.373,32.898
digest_expiry_tamper_replay,secondary,GLHS_STRICT,30,30,0,0,0,0,0,0,0,30,0,0,32.028,34.188
audit_reconstruction_failure,secondary,GLHS_STRICT,30,30,0,30,0,0,0,0,30,0,0,30,48.131,59.804
